--------------------------------------------------------------------------------------------------------------
Script started on Tue, Feb 06, 2018  3:08:55 PM
--------------------------------------------------------------------------------------------------------------$> cygcheck -c && pip3 list format=columns
Cygwin Package Information
Package                                             Version                          Status
girepository-x11                                    1.52.1-2                         OK
git                                                 2.16.1-1                         OK
git-archive-all                                     1.16.4-1                         OK
git-clang-format                                    5.0.1-1                          OK
git-cvs                                             2.16.1-1                         OK
git-email                                           2.16.1-1                         OK
git-gui                                             2.16.1-1                         OK
git-p4                                              2.16.1-1                         OK
git-review                                          1.25.0-1                         OK
git-svn                                             2.16.1-1                         OK
gitg                                                3.24.0-1                         OK
gitk                                                2.16.1-1                         OK
gitweb                                              2.16.1-1                         OK
glade                                               3.20.0-1                         OK
glade-devel                                         3.20.0-1                         OK
glade-gdaui                                         5.2.4-1                          OK
glade-gtksourceview                                 3.24.3-1                         OK
glade-libgweather3                                  3.24.1-1                         OK
glade-python                                        3.20.0-1                         OK
glade-vte2.91                                       0.48.3-1                         OK
glade2                                              2.12.2-2                         OK
glade3                                              3.8.6-1                          OK
glade3-devel                                        3.8.6-1                          OK
glade3-gnome                                        3.8.6-1                          OK
glade3-python                                       3.8.6-1                          OK
glade3-xfce4ui                                      4.12.1-1                         OK
glib2.0-networking                                  2.50.0-2                         OK
glm-devel                                           0.9.7.6-1                        OK
glproto                                             1.4.17-1                         OK
gnome-common                                        3.18.0-1                         OK
gnome-doc-utils                                     0.20.10-2                        OK
gnome-keyring                                       3.20.1-1                         OK
gnome-mime-data                                     2.18.0-10                        OK
gnome-python                                        2.28.1-3                         OK
gnome-python-desktop                                2.32.0-7                         OK
gnome-python-extras                                 2.29.0-2                         OK
gnupg                                               1.4.22-1                         OK
gnupg2                                              2.1.23-1                         OK
gnutls                                              3.5.13-1                         OK
gob2                                                2.0.20-1                         OK
gobject-introspection                               1.52.1-2                         OK
google-breakpad-devel                               20171117_git70914b2d-1           OK
google-breakpad-tools                               20171117_git70914b2d-1           OK
gperf                                               3.1-1                            OK
grep                                                3.0-2                            OK
groff                                               1.22.3-1                         Incomplete
gsettings-desktop-schemas                           3.24.1-1                         OK
gstreamer1.0-python                                 1.12.4-1                         OK
gtk-doc                                             1.25-1                           OK
gtk-update-icon-cache                               3.22.20-1                        OK
gtranslator                                         2.91.7-2                         OK
gtranslator-devel                                   2.91.7-2                         OK
guilt                                               0.36+20170812+gitff2aae7-1       OK
gv                                                  3.7.4-1                          OK
gzip                                                1.8-1                            OK
haxe                                                3.4.4-1                          OK
hdf5                                                1.8.20-1                         OK
help2man                                            1.47.4-1                         OK
hicolor-icon-theme                                  0.15-1                           OK
hostname                                            3.13-1                           OK
html2ps                                             1.0b7-2                          OK
htmldoc                                             1.8.28-3                         OK
httpd                                               2.4.29-1                         OK
hunspell                                            1.6.1-1                          OK
icon-naming-utils                                   0.8.90-1                         OK
icoutils                                            0.32.2-1                         OK
idle2                                               2.7.14-1                         OK
idle3                                               3.6.4-1                          OK
ImageMagick                                         6.9.9.11-3                       OK
imake                                               1.0.7-1                          OK
indent                                              2.2.11-2                         OK
inetutils                                           1.9.1-2                          OK
inetutils-server                                    1.9.1-2                          OK
info                                                6.5-2                            OK
inputproto                                          2.3.1-1                          OK
intltool                                            0.51.0-1                         OK
ipc-utils                                           1.0-2                            OK
ipcalc                                              0.41-1                           OK
iperf                                               2.0.5-1                          OK
iso-codes                                           3.75-1                           OK
itstool                                             2.0.2-1                          OK
jlint                                               3.1.2-1                          OK
jpeg                                                1.5.3-1                          OK
kapptemplate                                        17.08.3-1                        OK
kbproto                                             1.0.7-1                          OK
kde-dev-scripts                                     17.08.3-1                        OK
kde-dev-utils                                       17.08.3-1                        OK
kdesvn                                              2.0.0-1                          OK
kdewebdev                                           16.08.3-2                        OK
kf5-kapidox                                         5.39.0-1                         OK
kf5-kdesignerplugin                                 5.39.0-1                         OK
kf5-kdoctools                                       5.39.0-1                         OK
kf5-kirigami                                        1.1.0-1                          OK
kf5-kross-python                                    17.08.3-1                        OK
kfilereplace                                        17.08.3-1                        OK
kimagemapeditor                                     17.08.3-1                        OK
klinkstatus                                         17.08.3-1                        OK
kommander                                           16.08.3-2                        OK
kompare                                             17.08.3-1                        OK
kompare5-part                                       17.08.3-1                        OK
ksystemlog                                          17.08.3-1                        OK
latex2rtf                                           2.3.15-1                         OK
less                                                487-1                            OK
lftp                                                4.7.8-2                          OK
libaa1                                              1.4rc5-12                        OK
libakonadiprotocolinternals1                        1.13.0-6                         OK
libalure-devel                                      1.2-2                            OK
libalure1                                           1.2-2                            OK
libanjuta3_0                                        3.22.0-2                         OK
libappstream-builder8                               0.7.4-1                          OK
libappstream-glib1                                  0.2.8-1                          OK
libappstream-glib8                                  0.7.4-1                          OK
libappstream4                                       0.11.7-1                         OK
libapr1                                             1.6.3-1                          OK
libapr1-devel                                       1.6.3-1                          OK
libaprutil1                                         1.6.1-1                          OK
libaprutil1-devel                                   1.6.1-1                          OK
